prefix,AS_path,origin_AS,authorized_ASes_in_ROAs,benign_level,explanation,possible_reason,factors,justification
180.178.64.0/22,N/A,AS7474,['AS55923'],High,"Both AS7474 and AS55923 are Australian networks; AS7474 (SingTel Optus) is a major ISP and AS55923 (Canon Business Services Australia) is a business services provider. The prefix 180.178.64.0/22 is historically announced by AS55923, and the announcement from AS7474 likely reflects a delegated upstream‑downstream or provider‑customer arrangement, making the ROA mismatch a benign operational misconfiguration rather than a malicious hijack.",Provider‑customer or delegated upstream‑downstream relationship causing a misaligned ROA.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",strong relationship
180.178.65.0/24,N/A,AS7474,['AS55923'],High,"Both the origin AS (AS7474) and the authorized AS (AS55923) are based in Australia, and the announced /24 is a more specific portion of a larger prefix previously announced by AS55923, indicating a delegated upstream‑downstream or provider‑customer arrangement. The long‑standing presence of this prefix in BGP tables further supports its legitimacy as a benign configuration rather than a hijack.",Delegated upstream‑downstream (provider‑customer) announcement,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
185.185.144.0/22,N/A,AS262287,"['AS209372', 'AS213541']",Medium,"The origin AS (AS262287) and the authorized ASes (AS209372, AS213541) appear to be linked through WS Telecom Inc, suggesting a possible customer‑provider or lease relationship; however, direct ownership or a clear operational tie is not definitively documented, resulting in a moderate confidence that the conflict is benign.",Delegated/upstream-downstream announcement possibly due to a leased or managed service arrangement.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",same organization
185.185.144.0/23,N/A,AS262287,"['AS209372', 'AS213541']",High,"The origin AS (AS262287) announces a /23 that is a more specific portion of the /22 announced by AS213541 (and AS209372). All three ASes are located in Brazil and appear to belong to the same organization (WS Telecom Inc), indicating a delegated upstream‑downstream relationship rather than a malicious hijack.",Delegated upstream‑downstream announcement from a downstream customer (AS262287) of its provider (AS213541/AS209372).,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Regional/Organizational Connection)']",same organization
186.195.160.0/22,N/A,AS262738,['AS264496'],High,"The origin AS (AS262738) and the authorized AS (AS264496) are directly linked by a recent prefix transfer/ownership change in Brazil, where the prefix was delegated from Papa Tecnologia Ltda to IR Tecnologia Ltda (now Fibralink Ltda). Both ASes are registered in LACNIC, share the same geographic location, and the transfer history indicates a clear organizational relationship, making the conflict likely benign.",Prefix transfer / ownership change,"['Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",same organization
186.195.163.0/24,N/A,AS262738,['AS264496'],High,"The origin AS (AS262738) and the authorized AS (AS264496) belong to Brazilian companies that have a documented transfer of the prefix, indicating a close business and organizational relationship; both ASes also announce related prefixes, suggesting a provider‑customer or sibling link, making the ROA mismatch likely a benign conflict.",The conflict likely results from a recent prefix ownership transfer that has not been fully reflected in the ROA.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",same organization
186.250.160.0/22,N/A,AS61832,['AS262818'],High,"AS61832 and AS262818 are both Brazilian operators assigned by LACNIC; AS61832 maintains a more specific prefix (186.250.161.0/24) within the larger block authorized to AS262818, indicating a delegated upstream‑downstream relationship (likely provider‑customer or sibling). This operational overlap and shared regional presence explain the ROA mismatch as a benign configuration issue.","Delegated upstream‑downstream announcement where the provider (AS61832) announces a prefix authorized to its customer (AS262818), causing an ROA mismatch.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
186.250.161.0/24,N/A,AS61832,['AS262818'],High,"AS61832 and AS262818 have a close operational relationship, likely provider‑customer or sibling, with AS61832 listed as the maintainer of the route object for the prefix originated by AS262818. Both ASes are located in Brazil, and the IRR data shows delegated upstream‑downstream announcements, indicating the RPKI invalidity is probably due to a benign configuration mismatch.",Delegated/upstream-downstream announcement with possible ROA misconfiguration.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
187.121.224.0/21,Not available,AS28296,AS266356,High,"The origin AS (AS28296) and the authorized AS (AS266356) are closely related through a prefix transfer, indicating a likely benign conflict due to misconfiguration.","The announcement is from AS28296, which previously owned the prefix before transferring it to AS266356, suggesting a possible misconfiguration post-transfer.",['Prefix Transfer / Ownership Change'],
187.121.227.0/24,Not available,AS28296,AS266356,High,"The origin AS (AS28296) and the authorized AS (AS266356) have a close relationship, as indicated by the transfer history showing a recent prefix transfer from AS28296 to AS266356. This suggests a possible customer-provider or sibling relationship, making the conflict likely benign.","The conflict is likely due to a recent prefix transfer from AS28296 to AS266356, where AS28296 may still be announcing the prefix, leading to an origin mismatch.",['Prefix Transfer / Ownership Change'],
187.17.32.0/20,N/A,AS28262,['AS269073'],High,"The origin AS (AS28262) and the authorized AS (AS269073) are likely in a provider‑customer or delegated upstream‑downstream relationship; both are Brazilian ASes assigned by LACNIC and operate in the same region, with historical announcements indicating a possible recent prefix transfer. This close operational tie explains the RPKI‑invalid status as a benign conflict.",Customer‑provider (delegated) relationship possibly involving a recent prefix transfer.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change']",strong relationship
187.17.32.0/21,N/A,AS28262,['AS269073'],Medium,"The origin AS (AS28262) and the authorized AS (AS269073) are both registered in Brazil and belong to the same regional registry (LACNIC). The announced /21 is a more specific prefix of the less specific prefix covered by the ROA, which is typical of delegated or upstream‑downstream announcements. While this suggests a possible customer‑provider or hierarchical relationship, there is no definitive evidence of a direct business tie or shared ownership, leading to a moderate confidence that the conflict is benign.",Delegated/upstream‑downstream announcement leading to incomplete ROA coverage,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",same region
187.17.32.0/24,N/A,AS28262,['AS269073'],Medium,"AS28262 announces the more-specific /24 prefix while AS269073 holds the ROA for the less-specific /20 and /21 prefixes. Both ASes operate in Brazil, indicating a possible upstream‑downstream or customer‑provider relationship, but no direct evidence confirms a strong business tie. The situation resembles a delegated announcement that is not fully covered by the existing ROA, leading to a medium likelihood of a benign conflict.",Delegated more-specific announcement with partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",same region
187.84.124.0/24,N/A,AS262766,['AS271033'],High,"AS262766 appears to be a customer of AS271033, forming a provider‑customer relationship; both operate in Brazil and IRR records show AS271033 authorizing the customer cone that includes AS262766. The prefix is therefore likely announced as a delegated or upstream‑downstream announcement, and the ROA mismatch stems from a misconfiguration or outdated ROA rather than a malicious hijack.",Delegated/upstream-downstream announcement where the customer AS announces a prefix authorized to its provider.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
189.28.32.0/19,N/A,AS274370,['AS28293'],Medium,"Both the origin AS (AS274370) and the authorized AS (AS28293) are Brazilian ISPs, indicating a regional proximity and a possible upstream‑downstream relationship, as suggested by the recent more‑specific announcement from AS274370. However, there is no concrete evidence of a formal provider‑customer, sibling, or same‑organization link, and the ROA mismatch likely stems from a delegated or multi‑origin configuration rather than a malicious hijack.",Delegated/upstream‑downstream announcement (possible multi‑origin) causing the ROA mismatch.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",weak relationship
189.28.48.0/20,N/A,AS274370,['AS28293'],High,"Both AS274370 and AS28293 are Brazilian ISPs; AS28293 holds the larger /19 prefix while AS274370 announces a more specific /24 within that block, indicating a downstream or customer relationship. RIPEstat and RADB data corroborate this delegated upstream‑downstream arrangement, making the invalid route likely a benign misconfiguration rather than a hijack.",Delegated / Upstream-Downstream Announcements,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",strong relationship
189.28.56.0/21,N/A,AS274370,['AS28293'],High,"Both AS274370 and AS28293 are Brazilian ISPs registered in the LACNIC region, indicating a close operational relationship. AS28293 holds a ROA for the parent prefix 189.28.32.0/19, while AS274370 announces the more specific 189.28.56.0/21, a pattern typical of delegated upstream‑downstream announcements between a provider and its customer or subsidiary. No evidence of malicious intent is present.",Delegated/upstream-downstream announcement by a customer or subsidiary of the authorized AS.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
190.122.150.0/23,N/A,AS52453,['AS52354'],High,"Both AS52453 and AS52354 are LACNIC‑registered entities located in Argentina, with AS52453 (Atcco S.R.L.) announcing a more specific /23 that historically belongs to AS52354 (Atlantica Video Cable S.A.). IRR records show AS52453 as the origin for a /24 within the same block, indicating a delegated or upstream‑downstream relationship, likely customer‑provider or subsidiary, which explains the RPKI invalidity as a benign misconfiguration.",Delegated/upstream‑downstream announcement where AS52453 announces a more specific prefix on behalf of its provider or subsidiary AS52354.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
190.14.32.0/22,N/A,AS52453,['AS52354'],High,"Both AS52453 and AS52354 are LACNIC‑registered ASes located in Argentina and appear to be part of a closely linked operational environment; AS52453 has announced a more specific /24 within the /22 block, indicating a delegated or upstream‑downstream relationship, and the two ASes have historically announced related prefixes, suggesting a shared organizational or partnership arrangement.",Delegated/upstream‑downstream announcements between related ASes.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change', 'Others (Potential Shared Organizational Structure or Close Partnership)']",strong relationship
190.14.34.0/23,N/A,AS52453,['AS52354'],High,"AS52453 and the authorized AS52354 are closely related, likely operating under the same organization or a strong customer‑provider relationship. Both are registered with LACNIC in Argentina, share geographic proximity, and have a history of announcing overlapping prefixes, with the /23 being a more specific of a /22 originated by AS52354. This pattern reflects a delegated or upstream‑downstream arrangement and a multi‑origin setup with partial ROA coverage, indicating a legitimate operational configuration rather than a hijack.",Delegated/upstream-downstream announcement leading to multi-origin with partial ROA coverage.,"['Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements']",strong relationship
190.26.0.0/16,N/A,AS32034,['AS19429'],Medium,"Both AS32034 and the authorized AS19429 operate in Colombia, indicating geographic overlap. The announcement pattern suggests a delegated or upstream-downstream relationship, but there is no concrete evidence of a direct provider‑customer or sibling link; the relationship appears indirect, possibly involving peering or traffic‑engineering practices.",Delegated / Upstream-Downstream Announcements or Traffic Engineering / Deaggregate Mismatches,"['Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches', 'Multi-Origin with Partial ROA Coverage']",same region
190.26.192.0/20,N/A,AS32034,['AS19429'],Medium,"Both AS32034 and AS19429 are located in Colombia, and AS32034 announces a more specific /24 within the /20 that is authorized to AS19429. This pattern is consistent with a downstream or delegated announcement, possibly for traffic engineering, and there is no evidence of a recent prefix transfer or malicious activity, suggesting a likely benign operational relationship though not definitively proven.",Delegated/upstream-downstream announcement of a more specific prefix.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",same region
190.26.200.0/21,N/A,AS32034,['AS19429'],Medium,"Both AS32034 and the authorized AS19429 are located in Colombia; AS19429 has historically announced the larger prefix block, while AS32034 is announcing a more specific sub‑prefix. This pattern suggests a possible delegated or upstream‑downstream relationship, but there is no concrete evidence of a direct business tie or shared organization.",Delegated / Upstream-Downstream Announcements,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",same region
190.26.204.0/24,N/A,AS32034,['AS19429'],High,"AS32034 and AS19429 are telecommunications providers operating in Colombia; AS32034 has been announcing the /24 prefix since 2013 while AS19429 holds the ROA for the broader block, indicating a long‑standing delegated or upstream‑downstream relationship that has not been reflected in the ROA.",Delegated or upstream‑downstream announcement without an updated ROA,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",strong relationship
190.93.105.0/24,N/A,AS834,['AS27789'],Medium,"AS834 announces the /24, which is a more specific of the larger prefix announced by the authorized AS27789. This pattern is typical of downstream or customer‑provider arrangements or traffic‑engineering deaggregation, and both prefixes are located in the same region (Mexico). However, there is no concrete evidence of a direct ownership, sibling, or strong business relationship between the two ASes, leaving the benign nature uncertain.",Delegated upstream‑downstream announcement or traffic‑engineering deaggregation by a downstream AS.,"['Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches', 'Multi-Origin with Partial ROA Coverage']",same region
190.93.106.0/23,N/A,AS270168,['AS27789'],Medium,"Both AS270168 and the authorized AS27789 are registered in LACNIC and appear to operate in Mexico, indicating a regional relationship. The prefix 190.93.106.0/23 announced by AS270168 is a more‑specific of the /18 announced by AS27789, and the ROA for AS27789 specifies a larger maxLength, causing the announcement to be invalid. This pattern suggests a delegated or upstream‑downstream usage or a recent ownership transfer rather than a malicious hijack, though no direct evidence of a same‑organization or explicit provider‑customer link is available.",Delegated or upstream‑downstream announcement with possible ownership transfer causing a ROA maxLength mismatch.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",same region
190.93.106.0/24,N/A,AS270168,['AS27789'],Medium,"AS270168 announces the /24 prefix 190.93.106.0, which is a more specific of a larger block authorized to AS27789. This pattern suggests a delegated or upstream‑downstream arrangement, and both ASes are registered in the same regional registry (LACNIC) and located in Mexico, indicating geographic proximity. However, there is no direct evidence of a provider‑customer, sibling, or ownership relationship, so the benign likelihood is assessed as medium.",Delegated/upstream-downstream announcement of a more specific prefix authorized to AS27789.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",same region
190.93.110.0/24,N/A,AS273192,['AS27789'],High,"AS273192 and AS27789 are both LACNIC‑assigned entities operating in Mexico, and the /24 announced by AS273192 is a more specific of the /18 announced by AS27789. This pattern is typical of a delegated upstream‑downstream relationship, indicating a customer‑provider or sibling arrangement that results in partial ROA coverage rather than a malicious hijack.",Delegated upstream‑downstream announcement resulting in partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
190.93.123.0/24,N/A,AS272027,['AS27789'],High,"The origin AS (AS272027) and the authorized AS (AS27789) appear to have a close provider‑customer or subsidiary relationship, with AS27789 announcing a less specific prefix and AS272027 announcing a more specific sub‑prefix. Both ASes are LACNIC‑assigned and operate in the Dominican Republic/Latin America, indicating a delegated upstream‑downstream scenario rather than a malicious hijack.",Delegated upstream‑downstream announcement where a downstream AS announces a more specific prefix of its provider's less specific prefix.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",strong relationship
190.93.125.0/24,N/A,AS834,['AS27789'],Medium,"The /24 prefix is a more specific of the /19 block authorized to AS27789, yet it is originated by AS834. No direct provider‑customer, sibling, or organizational relationship is documented between the two ASes, but both have announced the prefix and operate in the same geographic region (Americas/Dominican Republic), indicating a possible delegation or recent ownership transfer that has not been reflected in the ROA. These factors suggest a likely benign misconfiguration rather than a malicious hijack.",Prefix ownership or delegation mismatch resulting in an outdated ROA.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches', 'Multi-Origin with Partial ROA Coverage']",weak relationship
190.93.96.0/19,N/A,AS273162,['AS27789'],Medium,"Both the origin AS (AS273162) and the authorized AS (AS27789) are LACNIC‑assigned and operate in the same geographic region, and the announced /19 is a more specific portion of a larger block owned by AS27789, suggesting an upstream‑downstream delegation. No evidence indicates they belong to the same organization or a formal provider‑customer contract, but the regional and allocation relationship points to a likely configuration issue rather than a malicious hijack.",Likely a downstream announcement or misconfiguration where the upstream AS's ROA was not updated after a prefix delegation or transfer.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",same region
190.93.98.0/24,N/A,AS273162,['AS27789'],High,"The origin AS (AS273162) and the authorized AS (AS27789) appear to have a close operational relationship, likely customer‑provider or sibling, as both are registered with LACNIC and operate in the same geographic region (Mexico/Latin America). The more specific /24 announcement is consistent with delegated or traffic‑engineering practices, and the prefix hierarchy matches IRR records, suggesting a legitimate delegation rather than a malicious hijack.",Delegated/upstream-downstream announcement or traffic engineering.,"['Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Operational Oversight in ROA Updates)', 'Prefix Transfer / Ownership Change']",strong relationship
191.36.232.0/22,N/A,AS263374,['AS263344'],Medium,"Both AS263374 and AS263344 are Brazilian ASes registered with LACNIC and share similar holder information, indicating a possible operational link. The prefix has historically been announced by AS263344, and the current announcement by AS263374 likely reflects a recent change in network operations or a customer‑provider relationship that has not been reflected in the ROA, leading to a misconfiguration. No direct evidence of a same‑organization or strong provider‑customer relationship is available.","Likely a misconfiguration caused by a recent prefix transfer or change in relationship between the ASes, with the ROA not updated.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",same region
191.36.234.0/24,N/A,AS263374,['AS263344'],High,"The origin AS263374 and the authorized AS263344 are Brazilian telecom operators that share the same geographic region and appear to have a close operational relationship, likely as part of the same organization or a customer‑provider/upstream‑downstream arrangement; the announced /24 is a more specific prefix of the less specific prefix covered by the ROA, indicating a delegated internal announcement rather than a malicious hijack.",More specific announcement due to delegated/upstream‑downstream relationship or internal prefix transfer within a closely related organization.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",strong relationship
192.177.53.0/24,N/A,AS834,['AS27176'],High,"The origin AS (AS834) and the authorized AS (AS27176) have a strong relationship indicated by IRR records where AS834 is listed as the maintainer (mnt-by) for the prefix, suggesting a delegated or upstream‑downstream arrangement and shared resource management, which points to a coordinated operational setup rather than a hijack.",Delegated/upstream-downstream announcement due to shared resource management.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Shared Resource Management', 'Multi-Origin with Partial ROA Coverage']",strong relationship
192.177.72.0/24,N/A,AS834,['AS27176'],Medium,"AS834 announces the prefix while the ROA authorizes AS27176; IRR records show the prefix is maintained by AS834, suggesting a delegated or upstream‑downstream relationship, but there is no direct evidence of a same‑organization or clear provider‑customer link, making the conflict likely due to a misconfiguration or administrative overlap rather than a malicious hijack.",Delegated/upstream-downstream announcement,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential past administrative link or misconfiguration)']",weak relationship
192.177.84.0/24,N/A,AS834,['AS27176'],High,"Both AS834 (origin) and AS27176 (authorized) appear to be administratively linked, as the IRR record for the prefix includes a 'mnt-by' attribute referencing MAINT‑AS834, indicating a delegated or upstream‑downstream relationship and a recent prefix transfer that has not yet been reflected in the ROA. This operational overlap points to a benign configuration issue rather than a malicious hijack.",Delegated/upstream-downstream announcement due to a recent prefix transfer or ownership change.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",same organization
192.192.0.0/16,N/A,AS27651,['AS1659'],Low,"The origin AS27651 (ENTEL Chile) announces the /16 prefix that is authorized to AS1659 (Taiwan Academic Network). The two ASes belong to different organizations and regions, with no known provider‑customer, sibling, or other business relationship, and there is no evidence of shared infrastructure. Although a more specific /24 is announced by AS27651 and historical prefix transfers are mentioned, these do not constitute strong proof of a legitimate relationship, making the conflict appear to be a misconfiguration or unauthorized use.",Possible misconfiguration or unauthorized use after an incomplete ROA update following a prefix transfer.,"['Prefix Transfer / Ownership Change', 'Others', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements']",no relationship
192.192.48.0/24,N/A,AS27651,"['AS17716', 'AS1659']",Medium,"The origin AS27651 announces the /24 prefix while the ROAs authorize AS17716 and AS1659. The invalidity stems from a maxLength mismatch, indicating a configuration issue rather than a malicious hijack. Although AS27651 may have an upstream‑downstream relationship with the authorized ASes, the entities are located in different countries (Chile vs Taiwan) and no direct provider‑customer or sibling relationship is evident. Historical prefix transfers within the region and the long‑standing announcement by AS27651 suggest a possible benign context, but the lack of concrete relationship evidence limits confidence.",The invalid announcement likely results from delegated/upstream‑downstream announcements combined with a prefix transfer or deaggregation mismatch.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches', 'Multi-Origin with Partial ROA Coverage']",weak relationship
193.187.110.0/23,Not available,AS393406,AS834,Low,"There is no clear evidence of a direct relationship between AS393406 (DigitalOcean) and AS834 (IPXO LLC). The ASes belong to different organizations without apparent customer-provider or sibling relationships. The prefix transfer history shows a past transfer, but no current evidence links AS393406 to AS834 in a benign context.",Potential hijack or unauthorized third-party announcement.,"['Hijacks', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)']",
193.187.110.0/24,N/A,AS393406,"['AS834', 'AS150293']",Medium,"The origin AS (AS393406) announces a more specific /24 that is covered by ROAs for both AS834 and AS150293. The relationship with AS834 appears to be a possible provider‑customer or upstream‑downstream arrangement, while the link to AS150293 (a cloud service provider) is less clear, suggesting a delegated or third‑party cloud announcement. The mixed evidence and lack of definitive ownership ties lead to a medium assessment of benignity.",Delegated/upstream‑downstream announcement by a cloud provider.,"['Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges)', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",weak relationship
193.187.132.0/24,N/A,AS834,['AS212238'],High,"The route is RPKI‑invalid because the origin AS (AS834) does not match the ROA‑authorized AS (AS212238), but multiple indicators point to a legitimate operational relationship: IRR records show overlapping holder information and shared maintainer objects, the prefix has undergone a documented ownership transfer, both ASes announce related prefixes in the same geographic region (Turkey), and there are indications of upstream/downstream or shared‑infrastructure arrangements, all of which suggest a benign conflict rather than a malicious hijack.",Prefix transfer with outdated ROA and shared upstream/downstream relationship causing a multi‑origin announcement.,"['Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements', 'Shared Resource Management', 'Others (Potential Partnership or Shared Infrastructure)']",strong relationship
193.3.190.0/24,N/A,AS10103,['AS154049'],Medium,"The origin AS10103 and the authorized AS154049 are both APNIC‑registered but are located in different regions (Hong Kong vs. France) and the prefix is geolocated to France, providing limited evidence of a direct business or organizational link. While a delegated or upstream‑downstream relationship and partial ROA coverage are possible, no concrete provider‑customer, sibling, or same‑organization relationship is confirmed, reducing confidence in a benign classification.",Delegated/upstream‑downstream or multi‑origin announcement with incomplete ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges)', 'Multi-Origin with Partial ROA Coverage']",weak relationship
194.31.196.0/24,N/A,AS26042,"['AS199737', 'AS200017']",Medium,"The origin AS26042 is not listed in the ROAs, which authorize AS199737 and AS200017. No direct organizational or provider‑customer relationship is evident between AS26042 and the authorized ASes, indicating they belong to separate entities. However, the prefix is announced by multiple ASes and the presence of several authorized origins suggests a delegated or multi‑origin configuration, and there are no clear signs of a malicious hijack.","Multi-origin announcement with partial ROA coverage, likely resulting from delegated or upstream/downstream arrangements.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Shared Hosting/Infrastructure Arrangement)', 'Traffic Engineering / Deaggregate Mismatches']",weak relationship
194.50.111.0/24,N/A,AS212238,['AS23470'],Medium,"There is no direct ownership, customer‑provider, or sibling relationship between AS212238 (CDNEXT – Datacamp Limited) and the authorized AS23470 (RELIABLESITE – ReliableSite.Net LLC). However, both ASes operate in the United States, the prefix is geolocated to Miami, and a recent IRR record update suggests a possible coordinated prefix transfer or delegated announcement, indicating a loosely related or third‑party arrangement rather than a malicious hijack.",The mismatch likely stems from a recent prefix transfer or third‑party delegation causing a misconfiguration.,"['Others', 'Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)']",same region
194.60.252.0/23,N/A,AS16509,['AS57479'],Medium,"AS16509 (Amazon) announces the prefix while the ROA authorizes AS57479 (RIFT Ltd.). There is no clear ownership or direct management link between the two ASes, but the pattern suggests a possible delegated or upstream‑downstream relationship, such as a customer‑provider arrangement, leading to a plausible operational misconfiguration. Historical announcements by AS57479 and the lack of recent transfer further support a benign misconfiguration rather than a malicious hijack.",Misconfiguration or delegated upstream‑downstream announcement between AS16509 and AS57479.,"['Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Multi-Origin with Partial ROA Coverage']",weak relationship
194.60.252.0/24,N/A,AS16509,['AS57479'],Medium,"The origin AS (AS16509, Amazon) announces a /24 that is covered by a ROA for AS57479 (Vultr). Both are large cloud providers, which can lead to delegated or upstream‑downstream announcements and occasional prefix transfers, but there is no concrete evidence of a direct business or organizational relationship between them, making the benign likelihood only moderate.",Delegated/upstream-downstream announcement or prefix transfer.,"['Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches', 'Third-Party Announcements (cloud edges)', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",weak relationship
195.64.122.0/24,N/A,AS7029,"['AS22773', 'AS398464', 'AS399989']",Medium,"AS7029 (Windstream Communications) announces the prefix, while the ROAs authorize AS22773 (Cox Communications) and two other ASes. Both AS7029 and AS22773 are large US telecom operators, suggesting possible upstream‑downstream or peering arrangements, but no concrete provider‑customer or ownership link is evident. This indirect relationship leads to a medium assessment of benignity.",The announcement may result from delegated upstream‑downstream announcements or multi‑origin routing due to complex peering or recent ownership changes among US telecoms.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",weak relationship
197.88.0.0/13,N/A,AS5713,"['AS3741', 'AS10474', 'AS20011']",Low,"The origin AS AS5713 (SAIX‑NET) is not known to share ownership, subsidiary status, or a direct customer‑provider relationship with any of the authorized ASes (AS3741, AS10474, AS20011), which belong to NTT‑DATA‑Inc. No evidence of shared infrastructure, recent mergers, or regional operational overlap was found, making the ROA mismatch unlikely to be a benign configuration and more indicative of a misconfiguration or potential hijack.",Possible misconfiguration or incomplete ROA updates due to organizational changes.,"['Hijacks', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements']",no relationship
197.93.209.0/24,N/A,AS5713,"['AS3741', 'AS10474', 'AS20011']",High,"The origin AS (AS5713) is closely related to the authorized ASes (AS3741, AS10474, AS20011) through shared corporate ownership under NTT-DATA-Inc and its subsidiaries, a history of mergers and acquisitions, and geographic proximity in South Africa. This relationship suggests the invalid route likely stems from delegated or upstream-downstream announcements and incomplete ROA updates rather than a malicious hijack.",Merger/acquisition or delegated upstream-downstream announcements leading to ROA misconfiguration.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",same organization
