prefix,AS_path,origin_AS,authorized_ASes_in_ROAs,benign_level,explanation,possible_reason,factors,aggregation_confidence,model_agreement_summary
191.101.102.0/24,N/A,AS61317,['AS834'],Medium,"The origin AS (AS61317) and the authorized AS (AS834) have a history of prefix/ownership transfers indicating a past relationship, suggesting a possible benign conflict due to administrative or operational reasons. However, there is no direct evidence of a same‑organization, provider‑customer, or sibling relationship, and the connection is inferred from transfer history and regional proximity (AE). The conflict likely stems from a recent transfer or mis‑configured ROA.",The conflict likely results from a recent prefix transfer or ownership change that has not been reflected in the ROA.,"['Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements']",,
191.101.137.0/24,N/A,AS61317,['AS64267'],Medium,"AS61317 announces the prefix 191.101.137.0/24, which is authorized to AS64267 in the ROA. No direct provider‑customer, sibling, or organizational relationship is evident, but both ASes operate in Brazil and may have an upstream/downstream or historical delegation relationship, suggesting a possible but not definitive connection. The lack of AS path information prevents confirmation, and the situation could stem from legacy delegation or multi‑origin configuration.","Delegated/upstream‑downstream announcement, potentially involving multi‑origin or recent prefix ownership change.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change', 'Traffic Engineering / Deaggregate Mismatches']",,
191.101.154.0/24,N/A,AS61317,"['AS262287', 'AS396356']",Medium,"The origin AS61317 and the authorized ASes AS262287 and AS396356 exhibit circumstantial connections such as past joint announcements, possible delegated or upstream‑downstream relationships, and shared infrastructure, but no definitive evidence of a same‑organization or direct provider‑customer relationship is available.",The conflict likely arises from a multi‑origin setup with delegated/upstream‑downstream announcements and partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Shared Infrastructure/Partnership)', 'Prefix Transfer / Ownership Change']",,
191.101.185.0/24,N/A,AS834,['AS212238'],High,"The RPKI validation marks the announcement from AS834 as invalid because the ROA authorizes only AS212238. However, RIPEstat and IRR data show a direct administrative linkage: the route object for AS212238 references a maintainer (MAINT-AS834) owned by AS834, and a recent IRR record lists AS834 as maintaining a route for this prefix. These indicators point to a delegated or upstream‑downstream relationship rather than a malicious hijack, suggesting the invalidity stems from a misconfigured ROA.",Delegated/upstream-downstream announcement due to misconfigured ROA,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
191.101.6.0/24,N/A,AS61317,['AS9009'],Medium,"The origin AS61317 and the authorized AS9009 are both network service providers; the prefix has historically been announced by AS9009, and the current announcement from AS61317 likely stems from a delegated or upstream‑downstream arrangement or other operational misconfiguration. No direct customer‑provider, sibling, or ownership relationship is evident, though both operate in the same region, indicating a possible but not confirmed link.",Delegated/upstream‑downstream announcement or misconfiguration causing an invalid ROA.,"['Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (e.g., CDNs, cloud edges)', 'Others (Potential Missing ROA Updates)', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",,
191.37.228.0/24,N/A,AS37468,['AS263374'],Low,"The origin AS37468 (ANGOLA-CABLES) and the authorized AS263374 (YZO TELECOM) belong to different organizations in Angola and Brazil, with no known provider‑customer, sibling, or shared‑infrastructure relationship. No evidence of a common regional or operational tie is found, and the lack of AS‑path data prevents confirming any downstream linkage. Consequently, the RPKI‑invalid announcement is most likely an unauthorized hijack rather than a benign configuration error.",Hijack,"['Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches', 'Others (Potential Collaborative Peering without ROA Update)', 'Hijacks']",,
191.7.145.0/24,N/A,AS273659 (MLINK TELECOM LTDA),['AS263320 (Sansara Telecom)'],Medium,"The origin AS (AS273659, MLINK TELECOM LTDA) and the authorized AS (AS263320, Sansara Telecom) are both registered in the LACNIC region and located in Brazil. Historical BGP data shows the prefix has been primarily announced by AS263320, suggesting it is the legitimate holder. The presence of a delegated or upstream‑downstream relationship and evidence of a recent prefix transfer or ownership change can explain the RPKI‑invalid announcement without implying malicious intent. No direct provider‑customer, sibling, or same‑organization relationship is evident, making the conflict likely benign but not definitively so.",The invalid announcement likely results from a delegated/upstream‑downstream announcement or a recent prefix transfer.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",,
191.96.135.0/24,N/A,AS40676,['AS212238'],Medium,"The origin AS40676 and the authorized AS212238 have no documented direct relationship in CAIDA or IHR data and belong to different organizations. However, AS40676 operates as a hosting/network provider and may announce prefixes on behalf of customers such as AS212238, which can produce an invalid announcement without clear malicious intent. The absence of concrete provider‑customer, sibling, or organizational ties keeps the confidence at a moderate level.",Possible operator misconfiguration or delegated upstream announcement by the hosting provider.,"['Hijacks', 'Others', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",,
191.96.60.0/24,N/A,AS834,['AS212238'],Medium,"The announcement is RPKI‑invalid because the origin AS834 does not match the authorized AS212238 in the ROA. Both ASes are well‑known operators, and a maintainer object (MAINT‑AS834) links AS834 to the prefix owned by AS212238, suggesting an administrative or delegated relationship. However, there is no concrete evidence of a provider‑customer, sibling, or same‑organization tie, so the situation is best viewed as a likely misconfiguration rather than a deliberate hijack.",Operator misconfiguration or delegated upstream/downstream announcement causing a partial ROA mismatch.,"['Delegated / Upstream-Downstream Announcements', 'Others', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Administrative Link via Maintainer Object)', 'Traffic Engineering / Deaggregate Mismatches']",,
191.96.82.0/24,N/A,AS834,['AS212238'],Medium,"AS834 and the authorized AS212238 appear to have a possible upstream‑downstream or delegated relationship, as indicated by a maintainer object and a RADB route entry linking the two, but there is no concrete evidence of a direct provider‑customer, sibling, or same‑organization tie; the situation resembles a multi‑origin scenario with partial ROA coverage, suggesting a likely misconfiguration rather than a deliberate hijack.","Delegated/upstream‑downstream announcement leading to a multi‑origin situation with partial ROA coverage, likely due to misconfiguration.","['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Administrative Link via Maintainer Object)']",,
191.96.84.0/24,N/A,AS834,['AS212238'],Medium,"The prefix was transferred in 2022 and AS834 may have continued announcing it, suggesting a misconfiguration after the handover. Both AS834 and AS212238 are active, and an IRR maintenance object (MAINT-AS834) indicates some administrative involvement, but there is no definitive evidence of a provider‑customer, sibling, or ownership relationship.",Possible misconfiguration after a prefix transfer leading to delegated/upstream‑downstream announcements with partial ROA coverage.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Administrative Oversight as per IRR records)']",,
192.192.1.0/24,N/A,AS26619,"['AS17716', 'AS1659']",Low,"The origin AS (AS26619) is operated by GTD Colombia S.A.S in Colombia, while the authorized ASes in the ROAs (AS17716 and AS1659) are based in Taiwan (National Taiwan University and TANet). No customer‑provider, sibling, or organizational relationship is evident, and the geographic separation suggests no shared infrastructure or operational overlap. Although one analysis mentioned possible complex transit or delegated announcements, there is no concrete evidence of such arrangements, leading to the conclusion that the invalid announcement is most likely a hijack rather than a benign conflict.",Likely a hijack because there is no legitimate relationship between the origin AS and the authorized ASes.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Third-Party Announcements (e.g., complex transit arrangements)', 'Prefix Transfer / Ownership Change']",,
192.94.58.0/24,N/A,AS61317,['AS834'],Medium,"The origin AS61317 and the authorized AS834 do not have a current direct business relationship; they belong to different organizations (Hivelocity LLC and IPXO LLC). However, AS61317 was previously owned by IPXO UK LIMITED, indicating a historical tie to the same parent company as AS834. This recent ownership change may not yet be reflected in the ROA, leading to an invalid route that is likely a benign conflict rather than a malicious hijack. Due to the lack of explicit provider‑customer or sibling relationship, the confidence remains at a medium level.",Prefix transfer or ownership change causing an outdated ROA,"['Hijacks', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",,
193.32.86.0/24,N/A,AS34681,"['AS949', 'AS3214', 'AS3258', 'AS4785', 'AS6233', 'AS8888', 'AS9312', 'AS51087']",Low,"The origin AS AS34681 is not listed in the ROAs, and there is no clear operational or business relationship with any of the authorized ASes (AS949, AS3214, AS3258, AS4785, AS6233, AS8888, AS9312, AS51087). While naming similarities were noted, no concrete evidence of shared ownership, provider‑customer links, or geographic proximity exists, and AS34681 shows little or no historical announcement activity for this prefix, suggesting the announcement is likely erroneous or malicious rather than a benign delegation.",Likely a hijack or misconfiguration due to lack of relationship with authorized ASes.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Possible Organizational Affiliation/Misconfiguration)', 'Hijacks', 'Misconfiguration']",,
195.78.56.0/24,N/A,AS11426,['AS834'],Medium,"The /24 prefix was transferred from RIPE NCC to ARIN and is now held by a US‑based entity, while the BGP announcement originates from AS11426 (Charter Communications), a large US ISP. The ROA authorizes AS834 (IPXO LLC), also US‑based, but there is no direct provider‑customer or sibling relationship between the two ASes. The mismatch likely stems from a recent prefix ownership change that has not yet been reflected in the ROA, a known benign scenario, though the lack of a clear operational link keeps confidence at a medium level.",Prefix transfer or ownership change leading to outdated ROA information.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Complex Peering Arrangement)']",,
197.159.215.0/24,N/A,AS328716,['AS37381'],High,"Both AS328716 and the authorized AS37381 are registered under the same organization (VIPNET) and are allocated by AFRINIC in Côte d'Ivoire, indicating a strong intra‑organizational relationship; the prefix has historically been announced by AS37381, and the current announcement likely results from delegated upstream/downstream announcements or internal misconfiguration during a prefix transfer.",Delegated upstream/downstream announcement or internal misconfiguration during a prefix transfer.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Intra-Organizational AS Relationship Misconfiguration)', 'Traffic Engineering / Deaggregate Mismatches']",,
197.221.107.0/24,N/A,AS327726,['AS37334'],Medium,"Both the announcing AS (AS327726) and the authorized AS in the ROA (AS37334) are registered under AFRINIC and operate in the same African region, suggesting a regional relationship. However, there is no publicly documented provider‑customer, sibling, or same‑organization link between them. The more specific /24 announcement could be a delegated or upstream‑downstream usage, but this cannot be confirmed, leaving the benign nature only partially supported.",Delegated/upstream-downstream announcement with partial ROA coverage,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Regional Operational Oversight)', 'Traffic Engineering / Deaggregate Mismatches']",,
197.221.116.0/23,N/A,AS327726,['AS37334'],Medium,"The origin AS (AS327726) and the authorized AS (AS37334) are both registered in AFRINIC and operate in the same geographic region (South Africa/Africa). The announced /23 is a sub‑prefix of the ROA‑authorized space, which can occur in delegated or downstream scenarios, and the prefix has previously been announced by AS37334, suggesting a possible recent transfer or partnership. However, there is no publicly visible provider‑customer, sibling, or same‑organization relationship, so the conflict is likely due to a benign operational overlap rather than a malicious hijack.","Possible delegated or upstream‑downstream announcement, or a recent prefix transfer, resulting in a misconfiguration.","['Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches', 'Others (Potential Misconfiguration due to Operational Proximity)', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",,
197.221.96.0/19,N/A,AS327726,['AS37334'],Medium,"Both the origin AS (AS327726) and the authorized AS (AS37334) are registered with AFRINIC and the prefix is primarily advertised in South Africa, indicating a regional relationship. While there is no concrete evidence of a direct provider‑customer, sibling, or same‑organization link, the presence of delegated or upstream‑downstream announcements and the possibility of a recent prefix transfer suggest the conflict may stem from operational practices rather than a malicious hijack.",Delegated/upstream-downstream announcement due to a possible prefix transfer or misconfiguration.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Regional/National Network Relationship Misconfiguration)', 'Hijacks', 'Misconfiguration']",,
198.12.38.0/24,N/A,AS61452,['AS27988'],High,"The origin AS61452 and the authorized AS27988 are tightly linked, with IRR records and transfer history indicating a provider‑customer or delegated relationship; AS61452 announces the prefix on behalf of AS27988, both are registered in LACNIC and located in Argentina, and the prefix has been historically announced by AS61452, supporting a benign configuration.","Delegated/upstream‑downstream announcements, possibly due to a misconfigured ROA for the downstream AS.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",,
199.188.236.0/24,N/A,AS834,['AS53356'],High,"The origin AS834 and the authorized AS53356 have a close, delegated relationship evidenced by RIPEstat route objects showing AS53356 as the origin with maintenance by AS834, indicating an upstream‑downstream or provider‑customer arrangement; no hijack patterns or conflicting transfers are observed, supporting a benign conflict.",Delegated/upstream-downstream announcement where AS834 announces on behalf of AS53356 due to a delegation or hosting arrangement.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",,
199.74.188.0/24,N/A,AS188,"['AS19905', 'AS203217', 'AS211908']",Low,"The origin AS188 (associated with SAIC) has no direct or indirect relationship with the authorized ASes AS19905, AS203217, and AS211908, which are linked to Horizon Scope Mobile Telecom WLL and Vercara. There is no evidence of provider‑customer, sibling, or organizational ties, and the entities are geographically distant, indicating the invalid announcement is unlikely to be a benign conflict.",Likely a BGP hijack rather than a benign misconfiguration.,"['Hijacks', 'Misconfiguration', 'Others (Outdated Routing Information)', 'Prefix Transfer / Ownership Change']",,
200.108.71.0/24,N/A,AS262182,['AS26593'],High,"Both the origin AS (AS262182) and the authorized AS (AS26593) are telecom operators located in Argentina/South America. AS26593 has historically announced the 200.108.71.0/24 prefix, and the announcement from AS262182 aligns with a delegated or upstream‑downstream relationship, such as a customer‑provider arrangement. No transfer history or anomalous visibility is observed, indicating the invalid route is likely a benign configuration issue rather than a malicious hijack.",Delegated / Upstream-Downstream Announcements (possible intra-organizational misconfiguration),"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Intra-Organizational Misconfiguration)', 'Traffic Engineering / Deaggregate Mismatches']",,
200.192.10.0/24,N/A,AS147138,['AS4230'],Low,"The origin AS (AS147138) in Indonesia and the authorized AS (AS4230) in Brazil are in different regions with no known ownership or business relationship, and the announced /24 is more specific than the maximum length allowed by the ROA for AS4230, indicating a prefix‑length mismatch. While a delegated upstream‑downstream announcement or traffic‑engineering deaggregation could explain the more‑specific prefix, there is no evidence of such coordination, making a benign conflict unlikely.","Misconfiguration of a more-specific prefix, possibly due to a delegated upstream-downstream announcement.","['Hijacks', 'Others', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements', 'Others (Potential Undisclosed Relationship or Misconfiguration)', 'Traffic Engineering / Deaggregate Mismatches']",,
200.29.26.0/24,N/A,AS6429,['AS10778'],High,"Both AS6429 and AS10778 are registered in Chile, indicating a close geographical and operational relationship. AS6429 appears to be a customer or downstream of AS10778, which holds the less specific prefix 200.29.0.0/19. The /24 is a more specific of that block, and IRR records show customer‑provider or proxy announcements, suggesting a legitimate delegated upstream‑downstream scenario, making the RPKI invalid likely benign.",Delegated upstream-downstream announcement (customer‑provider) possibly with partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
200.29.89.0/24,N/A,AS6429,['AS10778'],High,"Both AS6429 (Telmex Chile Internet S.A.) and AS10778 (MCL Internet) are registered in Chile and have been announcing prefixes within the 200.29.64.0/19 block for many years; AS6429 has consistently originated the more‑specific 200.29.89.0/24 since 2013, while the ROA authorizes the less‑specific prefix to AS10778, indicating a likely provider‑customer or sibling relationship and a delegated upstream announcement.","Delegated/upstream-downstream announcement where AS6429, likely a customer of AS10778, announces a more specific prefix not covered by the ROA.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
200.36.110.0/24,N/A,AS28545,['AS6503'],High,"The origin AS (AS28545) and the authorized AS (AS6503) are Mexican telecom/ISPs that have a close business relationship, likely provider‑customer or sibling. The /24 is a more‑specific of a larger block historically announced by AS6503, and IRR records show a history of delegated or transferred ownership. This long‑standing operational link and the lack of anomalous activity indicate the RPKI‑invalid announcement is a likely benign conflict.","Delegated/upstream‑downstream announcement, possibly due to a misconfigured ROA.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change', 'Traffic Engineering / Deaggregate Mismatches']",,
200.36.112.0/24,N/A,AS28509,['AS6503'],Medium,"Both AS28509 and the authorized AS6503 are Mexican operators, indicating geographic proximity, but there is no confirmed provider‑customer, sibling, or same‑organization relationship. The prefix has been announced by multiple ASes historically, and the situation may stem from delegated or upstream‑downstream arrangements, multi‑origin configurations, or recent operational changes, suggesting a likely benign conflict of medium confidence.",Delegated/upstream‑downstream announcements or operational changes resulting in multi‑origin coverage.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Complex IP Address Management within Regional Telecom Ecosystem)', 'Prefix Transfer / Ownership Change']",,
200.69.127.0/24,N/A,AS22368,['AS19429'],High,"Both AS22368 (TELEBUCARAMANGA S.A. E.S.P.) and AS19429 (ETB - Colombia) are Colombian entities; the prefix 200.69.127.0/24 has been announced by AS22368 since 2002 and geolocates to Bucaramanga, Colombia, indicating a long‑standing, geographically co‑located operation. This suggests a close provider‑customer or sibling relationship, and there is no evidence of malicious intent, making the conflict likely benign.",Delegated/upstream‑downstream announcement or misconfigured ROA,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
200.93.151.0/24,N/A,AS22368,['AS19429'],High,"Both AS22368 and AS19429 are Colombian ISPs; the prefix has been announced by AS22368 since 2003 and is a more specific block within larger prefixes announced by AS19429, indicating a likely provider‑customer or sibling relationship and no signs of hijack activity.",Misconfigured delegated upstream/downstream announcement,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",,
201.217.222.0/24,N/A,AS7087,['AS18747'],High,"The origin AS (AS7087) and the authorized AS (AS18747) are both located in Colombia/Latin America, indicating close geographic proximity. AS7087 is a smaller ISP while AS18747 is a larger transit provider, suggesting a provider‑customer or sibling relationship. The announced /24 is a more specific subprefix of the /19 covered by the ROA, a common delegated upstream‑downstream arrangement that may not be reflected in the current ROA.",Delegated upstream‑downstream announcement where the customer AS7087 announces a more specific prefix of its provider AS18747 without an updated ROA.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
201.76.109.0/24,N/A,AS28138,['AS262792'],Medium,"Both AS28138 and AS262792 are Brazilian ISPs operating in the same geographic region, suggesting a possible upstream-downstream relationship, and the announced /24 is more specific than the ROA's prefix, which can occur in delegated announcements. However, there is no direct evidence of a formal provider‑customer, sibling, or same‑organization link, and the situation could also stem from a multi‑origin configuration or misconfiguration, leaving the benign nature only partially supported.",Delegated/upstream-downstream announcement (possible multi-origin with partial ROA coverage),"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration)']",,
203.127.225.0/24,N/A,AS17894,"['AS3758', 'AS19905']",Medium,"The origin AS (AS17894) is based in the Philippines, while the authorized ASes (AS3758 and AS19905) are associated with Singapore. No direct provider‑customer, sibling, or ownership relationship is evident, but the geographic proximity and potential regional partnerships suggest a possible benign conflict, though the evidence is not definitive.",Delegated/upstream‑downstream announcements or regional partnership leading to a misconfiguration.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Regional Infrastructure Overlaps / Partnerships', 'Others (Potential Undocumented Partnership or Misconfiguration)', 'Multi-Origin with Partial ROA Coverage']",,
203.209.99.0/24,N/A,AS17980,"['AS45800', 'AS7693']",Medium,"The origin AS17980 and the authorized AS45800 are both registered in Thailand and the prefix 203.209.99.0/24 is associated with KSC Commercial Internet Co. Ltd., indicating a regional and possible business link. Historical BGP data shows AS17980 has announced this prefix since 2013, and the presence of AS7693 in the ROA suggests upstream/downstream delegation. However, there is no publicly documented provider‑customer, sibling, or corporate relationship between AS17980 and AS45800, so the conflict is most plausibly due to a delegated or multi‑origin configuration error rather than a malicious hijack.",Delegated/upstream‑downstream announcement or multi‑origin partial ROA coverage due to misconfiguration.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)', 'Prefix Transfer / Ownership Change']",,
203.25.240.0/24,N/A,AS17378,['AS396982'],Low,"The origin AS (AS17378, TierPoint) and the authorized AS (AS396982, Google Cloud) show no evident provider‑customer, sibling, or organizational relationship, nor shared infrastructure or geographic proximity. Consequently, the RPKI‑invalid announcement is more consistent with an unauthorized hijack rather than a benign misconfiguration.",Hijack,"['Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Misconfiguration', 'Others (Potential for indirect business relationship not reflected in available data)', 'Hijacks']",,
203.4.190.0/24,N/A,AS17819,"['AS17765', 'AS396982']",Medium,"The origin AS (AS17819) is Equinix Asia Pacific, a major data‑center provider, while the authorized ASes are Australian Associated Press (AS17765) and Google Cloud (AS396982). Equinix may host these customers and thus could be announcing their prefixes on their behalf, indicating a possible delegated or upstream‑downstream relationship, but there is no direct evidence of a formal provider‑customer or same‑organization link.",Delegated / Upstream-Downstream Announcements,"['Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges, etc.)', 'Others (Potential regional facilitation or partnership not explicitly documented)', 'Multi-Origin with Partial ROA Coverage']",,
204.14.75.0/24,N/A,AS397966,['AS834'],Low,"There is no evidence of a direct relationship between AS397966 (ReadyDedis) and the authorized AS834 (IPXO LLC). The two ASes belong to different organizations with no known economic, policy, or geographic ties, and no documented provider‑customer or sibling relationship. Although the prefix has been announced previously by other ASes, indicating a history of multiple origins, this does not provide a legitimate justification for the current invalid announcement. Consequently, the conflict is most likely a hijack or misconfiguration rather than a benign operational arrangement.",Hijack or misconfiguration.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Undocumented Operational Agreement)', 'Prefix Transfer / Ownership Change']",,
204.14.79.0/24,N/A,AS834,['AS53356'],High,"IRR and RIPEstat data show that AS834 is listed as the maintainer of the route object for the prefix, while the ROA authorizes AS53356, indicating a delegated or upstream‑downstream relationship (provider‑customer or sibling). This operational setup explains the RPKI‑invalid announcement as a benign conflict rather than a hijack.",Delegated/upstream-downstream announcement with partial ROA coverage,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",,
204.93.209.0/24,N/A,AS834,['AS212238'],Medium,"The origin AS834 and the authorized AS212238 show indirect connections: a maintainer overlap and a historical prefix transfer suggest possible administrative or business coordination, but there is no clear provider‑customer, sibling, or same‑organization relationship. The conflict likely stems from a misconfiguration related to delegated or upstream‑downstream announcements, partial ROA coverage, or traffic‑engineering de‑aggregation after an ownership change.",Misconfiguration or traffic‑engineering scenario involving delegated/upstream‑downstream announcements and partial ROA coverage after an organizational change.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Maintainer Overlap/Misconfiguration)', 'Traffic Engineering / Deaggregate Mismatches']",,
204.93.235.0/24,N/A,AS834,['AS212238'],Medium,"The origin AS (AS834) and the authorized AS (AS212238) show circumstantial evidence of a business relationship—maintenance records link AS834 to the prefix, the prefix has been previously announced by AS212238 and used by an end‑user, and there are indications of delegated upstream/downstream announcements—but there is no definitive proof of a same‑organization or sibling relationship.",Delegated upstream/downstream announcement with shared management and recent prefix ownership changes.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Shared Management Responsibilities)', 'Prefix Transfer / Ownership Change']",,
204.93.245.0/24,N/A,AS834,['AS212238'],Medium,"The route is invalid because AS834 is not listed in the ROA, which only authorizes AS212238. AS834 has historically announced this prefix and there is maintainer overlap between the two ASes, suggesting possible administrative coordination or a recent prefix transfer. However, no direct provider‑customer, sibling, or same‑organization relationship is confirmed, leaving the situation consistent with a misconfiguration or temporary operational arrangement such as traffic engineering.","Possible misconfiguration or operational arrangement such as a prefix transfer, upstream/downstream delegation, or traffic engineering causing the invalid ROA state.","['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Maintainer Overlap/Misconfiguration)', 'Traffic Engineering / Deaggregate Mismatches']",,
205.234.147.0/24,N/A,AS23470,['AS212238'],Medium,"The origin AS (AS23470) and the authorized AS (AS212238) belong to different organizations and there is no known direct provider‑customer, sibling, or same‑organization relationship. While no explicit operational link is evident, the possibility of indirect upstream/downstream or third‑party CDN arrangements could explain the invalid announcement, leading to uncertainty about its benign nature.",Possible upstream/downstream or third‑party CDN announcement resulting in partial ROA coverage,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges)', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",,
205.234.148.0/24,N/A,AS23470,['AS212238'],Medium,"The origin AS (AS23470) and the authorized AS (AS212238) belong to different organizations and have no documented provider‑customer or sibling relationship. However, the prefix has previously been announced by AS212238, and the current situation aligns with patterns of prefix transfers or multi‑origin announcements, suggesting a likely misconfiguration rather than an outright hijack.",Possible misconfiguration related to a recent prefix transfer or multi‑origin announcement.,"['Hijacks', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Overlooked ROA Update)']",,
205.234.186.0/24,N/A,AS55154,['AS396356'],Medium,"Both AS55154 and the authorized AS396356 have announced the prefix in the past, indicating a possible operational relationship or prior ownership transfer, yet no definitive evidence of a same‑organization or direct business relationship is found; the ROA is likely outdated or incomplete, leading to an invalid validation.",Legacy multi‑origin or ownership transfer causing an outdated ROA.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)']",,
205.234.187.0/24,N/A,AS55154,['AS396356'],Medium,"AS55154 is announcing the 205.234.187.0/24 prefix which is authorized in the ROA for AS396356. No direct provider‑customer, sibling, or same‑organization relationship is evident between the two ASes. Historical data shows the prefix has been announced by both ASes, suggesting a possible prior transfer or shared infrastructure, and the presence of delegated or third‑party announcements could mean the ROA has not been updated. Given the lack of concrete relationship evidence, the situation is assessed as a medium‑likelihood benign conflict.",The conflict likely arises from a prior prefix transfer or ownership change combined with delegated/upstream or multi‑origin usage that left the ROA outdated.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (e.g., hosting, cloud services)', 'Others (Potential delayed ROA updates or misconfigurations not directly inferred from provided data)', 'Multi-Origin with Partial ROA Coverage']",,
205.234.202.0/24,N/A,AS834,['AS212238'],Medium,"AS834 appears as the maintainer of the IRR record for the prefix, indicating an administrative link to the authorized AS212238 and suggesting a delegated or upstream‑downstream announcement, but there is no direct evidence of a same‑organization or confirmed provider‑customer relationship, resulting in a moderate confidence of benign conflict.",Delegated/upstream-downstream announcement with partial ROA coverage,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
