prefix,AS_path,origin_AS,authorized_ASes_in_ROAs,benign_level,explanation,possible_reason,factors,justification
191.101.17.0/24,N/A,AS834,['AS212238'],Medium,"There is no direct provider‑customer, sibling, or same‑organization relationship between AS834 and the authorized AS212238. However, RIPEstat data shows a maintainer object MAINT‑AS834 linked to the prefix owned by AS212238, suggesting a possible administrative or operational connection. This circumstantial evidence is insufficient for a strong tie, resulting in a medium benign likelihood.",Possible administrative or operational relationship between AS834 and AS212238 causing the invalid announcement.,"['Hijacks', 'Others', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",weak relationship
191.101.178.0/24,N/A,AS834,['AS212238'],High,"RIPEstat data shows the route object for the prefix is maintained by MAINT‑AS834, indicating a maintenance or administrative relationship between AS834 and the authorized AS212238, which suggests a provider‑customer or sibling link; although other analyses did not find direct organizational ties, this specific evidence points to a strong benign relationship, making a malicious hijack unlikely.","The announcement likely results from a delegated/upstream‑downstream arrangement with partial ROA coverage, where a misconfigured ROA permits AS834 to announce the prefix on behalf of AS212238.","['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",strong relationship
191.101.185.0/24,N/A,AS834,['AS212238'],High,"AS834 and AS212238 show a clear administrative link: RIPEstat data for the prefix lists a 'mnt-by' attribute of MAINT-AS834, indicating that AS834 maintains resources for AS212238. Both ASes are active and have route objects for the prefix, suggesting a provider‑customer or sibling relationship despite the lack of CAIDA relationship records. This operational coupling makes the RPKI‑invalid announcement likely a benign conflict rather than a malicious hijack.",Delegated/upstream‑downstream announcement caused by an operational misconfiguration within a business relationship.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",strong relationship
191.101.19.0/24,N/A,AS834,['AS212238'],Medium,"There is no direct provider‑customer, sibling, or same‑organization relationship between AS834 and the authorized AS212238, but the IRR maintainer object MAINT‑AS834 associated with the prefix, which is primarily announced by AS212238, suggests a possible administrative or upstream/downstream linkage, making the conflict only partially indicative of a benign situation.",Multi‑Origin with Partial ROA Coverage and possible delegated upstream‑downstream relationship.,"['Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Others', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",weak relationship
191.101.69.0/24,N/A,AS834,['AS212238'],Medium,"The origin AS834 and the authorized AS212238 appear to have an indirect relationship; IRR records list AS834 as a maintainer for the prefix that is primarily associated with AS212238, suggesting a delegated or upstream‑downstream arrangement. While no direct provider‑customer, sibling, or same‑organization link is confirmed, the administrative linkage points to a legitimate operational setup, making the conflict likely benign but not definitively so.",Delegated/upstream-downstream announcement with partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",weak relationship
191.101.91.0/24,N/A,AS834,['AS212238'],Medium,"The BGP announcement for 191.101.91.0/24 originates from AS834, which is RPKI‑invalid because the ROA authorizes AS212238. Evidence suggests the conflict may stem from a recent prefix transfer or ownership change that was not reflected in the ROA, and a maintainer object (MAINT‑AS834) links the prefix to resources owned by AS212238, indicating a possible administrative or upstream/downstream relationship. However, no direct provider‑customer, sibling, or same‑organization relationship is confirmed, leading to a medium benign likelihood.",The conflict likely results from a misconfigured or outdated ROA after a prefix transfer or delegated upstream/downstream arrangement.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",weak relationship
191.96.123.0/24,N/A,AS834,['AS212238'],Medium,"The origin AS834 and the authorized AS212238 have no direct provider‑customer or sibling relationship, but a maintainer object (MAINT‑AS834) linked to AS212238's resources suggests a possible administrative or operational connection, indicating a circumstantial but not definitive benign relationship.","Possible delegated or operational relationship between AS834 and AS212238 (e.g., upstream/downstream or third‑party service).","['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (e.g., CDNs, DDoS mitigation, cloud edges)', 'Multi-Origin with Partial ROA Coverage']",weak relationship
191.96.132.0/24,N/A,AS834,['AS212238'],Medium,"The origin AS834 and the authorized AS212238 appear to have an operational or administrative link, suggested by a maintainer object (MAINT-AS834) associated with the prefix and IRR records indicating a delegated or upstream‑downstream arrangement, but there is no explicit evidence of a same‑organization or direct provider‑customer relationship.",Delegated/upstream‑downstream announcement between AS834 and AS212238,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Third-Party Announcements (e.g., CDNs, DDoS mitigation, cloud edges)', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",weak relationship
191.96.135.0/24,N/A,AS21859,['AS212238'],High,"A recent prefix transfer in 2023 moved the /24 from AS212238 to AS21859, but the ROA was not updated, resulting in an invalid announcement; this legitimate ownership change explains the mismatch without indicating malicious intent.","Recent prefix transfer not reflected in the ROA, causing an invalid state.","['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges, etc.)', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",strong relationship
191.96.154.0/24,N/A,AS834,['AS212238'],Medium,"The route is invalid because the origin AS (AS834) does not match the ROA‑authorized AS (AS212238). Evidence suggests a recent prefix transfer or ownership change, a maintainer object linking AS834 to resources owned by AS212238, and prior announcements by AS212238, indicating a delegated or third‑party service relationship rather than a direct provider‑customer link.",Likely a delegated/upstream‑downstream or third‑party announcement resulting from a recent prefix transfer or multi‑origin arrangement.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (e.g., CDNs, DDoS mitigation, cloud edges)', 'Multi-Origin with Partial ROA Coverage']",weak relationship
191.96.183.0/24,N/A,AS834,['AS212238'],Medium,"The origin AS834 and the authorized AS212238 are not known to have a direct provider‑customer, sibling, or same‑organization relationship. However, the prefix has been announced by both ASes in the past, AS834 appears as a maintainer in IRR records associated with the prefix, and there are indications of a possible delegation or ownership transfer. These circumstantial links suggest a legitimate multi‑origin or delegated arrangement, though the evidence is not definitive.",The route likely results from a delegated or multi‑origin announcement due to a possible prefix transfer between AS834 and AS212238.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",weak relationship
191.96.193.0/24,N/A,AS21859,['AS212238'],Low,"There is no evidence of a close relationship between AS21859 and the authorized AS212238; they belong to different organizations and regions, with no known customer‑provider, sibling, or shared‑infrastructure ties. The lack of direct operational or geographic linkage makes a benign conflict unlikely, suggesting the invalid announcement is more consistent with a hijack or misconfiguration.","Likely a hijack or misconfiguration (e.g., multi‑origin announcement without proper ROA coverage).","['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges)', 'Others (Potential Shared Infrastructure/Misconfiguration)', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",no relationship
191.96.207.0/24,N/A,AS61317,['AS834'],Medium,"The prefix 191.96.207.0/24 is announced by AS61317 while the ROA authorizes AS834. Both ASes have been involved in recent prefix or ownership transfers (AS61317 moved from IPXO UK LIMITED to Hivelocity Inc in 2023, and AS834 is held by IPXO LLC), suggesting a historical or administrative link, but there is no concrete evidence of a current same‑organization, provider‑customer, or sibling relationship. The invalid ROA likely stems from a misconfiguration after the transfer, indicating a possible benign conflict without strong supporting evidence.",The conflict likely results from a recent prefix or ownership transfer that was not reflected in the ROA.,"['Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Shared Resource Management)']",weak relationship
191.96.220.0/24,N/A,AS834,['AS212238'],Medium,"There is no direct customer‑provider, sibling, or same‑organization relationship between AS834 and the authorized AS212238. However, the presence of a maintainer object (MAINT‑AS834) linked to AS212238's resources suggests an administrative or operational connection, indicating a possible benign misconfiguration rather than a clear malicious hijack.",Delegated/upstream-downstream announcement leading to multi‑origin with partial ROA coverage.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",weak relationship
191.96.253.0/24,N/A,AS147186,['AS212238'],Low,"There is no evidence of a direct business or organizational relationship between AS147186 (VCCL Cloud Private Limited) and the authorized AS212238 (CDNEXT – Datacamp Limited). The two ASes belong to different companies, operate in different regions, and no customer‑provider, sibling, or shared‑infrastructure ties are known. Consequently, the invalid announcement is unlikely to be a benign configuration and is more consistent with a hijack or misconfiguration.",Likely a hijack or misconfiguration rather than a delegated or third‑party announcement.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges)', 'Others (Potential Misconfiguration or Overlapping Operational Practices)', 'Prefix Transfer / Ownership Change']",no relationship
191.96.33.0/24,N/A,AS834,['AS212238'],Medium,"There is no direct business or organizational relationship between AS834 and the authorized AS212238, but IRR records show AS834 listed as a maintainer for the prefix, suggesting a possible delegated or administrative arrangement. While this indicates some level of cooperation, the evidence is not strong enough to confirm a same‑organization or provider‑customer link, leading to a moderate assessment of benign likelihood.",Delegated/upstream-downstream or multi‑origin announcement with partial ROA coverage.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges, etc.)', 'Multi-Origin with Partial ROA Coverage']",weak relationship
191.96.60.0/24,N/A,AS834,['AS212238'],Medium,"The origin AS834 and the authorized AS212238 are both active networks, and a maintainer object (MAINT-AS834) linked to the prefix is associated with AS212238, indicating an administrative or operational connection that could reflect a delegated upstream/downstream or customer‑provider relationship. No direct evidence of same‑organization or sibling ownership exists, so the invalid route is most likely the result of a misconfiguration rather than a malicious hijack.","Operator misconfiguration, likely due to a delegated upstream/downstream relationship or incomplete ROA coverage.","['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Administrative Link via Maintainer Object)', 'Traffic Engineering / Deaggregate Mismatches']",weak relationship
191.96.82.0/24,N/A,AS834,['AS212238'],Medium,"There is no direct provider‑customer, sibling, or same‑organization relationship between AS834 and AS212238, but an IRR record shows a maintenance object (MAINT‑AS834) associated with the prefix, indicating an administrative overlap that could stem from a misconfiguration or operational delegation.",Operational misconfiguration or administrative overlap between AS834 and AS212238.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",weak relationship
191.96.84.0/24,N/A,AS834,['AS212238'],Medium,"The conflict appears to stem from a delegated or upstream‑downstream announcement that was not reflected in the ROA, possibly due to a misconfiguration. A maintainer object linking AS834 to the prefix suggests an administrative connection to AS212238, but there is no confirmed provider‑customer, sibling, or same‑organization relationship.",Delegated or upstream‑downstream announcement with possible misconfiguration,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Administrative Link via Maintainer Object)', 'Traffic Engineering / Deaggregate Mismatches']",weak relationship
191.96.85.0/24,N/A,AS834,['AS212238'],Medium,"There is no confirmed direct relationship (provider‑customer, sibling, or same organization) between AS834 and AS212238. IRR records show a maintainer object MAINT‑AS834 linked to the prefix, which is primarily associated with AS212238, indicating a possible administrative or operational connection and suggesting a delegated or upstream‑downstream relationship, but the evidence is not definitive.","Delegated/upstream-downstream announcement with multi-origin configuration, possibly due to misconfiguration.","['Prefix Transfer / Ownership Change', 'Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",weak relationship
192.133.197.0/24,N/A,AS54533,"['AS109', 'AS198949']",Medium,"AS54533 is announcing a /24 that falls within a larger block owned by AS109 (Cisco). The most plausible explanation is a prefix transfer or delegated upstream-downstream announcement that was not reflected in the ROA, leading to an RPKI-invalid status. While there is no confirmed provider‑customer or same‑organization relationship, both ASes operate in the United States and the prefix appears to be a sub‑allocation of Cisco's address space, suggesting a benign misconfiguration rather than a malicious hijack.",Likely a prefix transfer or delegated announcement resulting from misconfiguration rather than a malicious hijack.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)', 'Hijacks']",same region
192.94.58.0/24,N/A,AS61317,['AS834'],Medium,"There is no current direct business or organizational relationship between AS61317 and the authorized AS834; however, AS61317 was previously owned by IPXO UK LIMITED, which is related to IPXO LLC that holds AS834, indicating a historical ownership connection. This indirect link, combined with the recent transfer of AS61317 to Hivelocity Inc, suggests the invalid announcement may stem from a misconfiguration or incomplete ROA update rather than a deliberate hijack, though the evidence is not strong enough to confirm a benign conflict.","Possible misconfiguration or outdated ROA after the recent transfer of AS61317, resulting in partial ROA coverage.","['Hijacks', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements']",weak relationship
193.32.86.0/24,N/A,AS34681,"['AS949', 'AS3214', 'AS3258', 'AS4785', 'AS6233', 'AS8888', 'AS9312', 'AS51087']",Medium,"The origin AS AS34681 is not listed in any ROA for the prefix, while several other ASes are authorized. The prefix is primarily announced by AS51087, which belongs to the same organization that holds the ROA, suggesting a possible delegated or upstream‑downstream relationship. However, there is no clear direct business or organizational link between AS34681 and the authorized ASes, leading to a moderate assessment of benign likelihood.",Possible delegated or upstream‑downstream misconfiguration resulting in an unauthorized announcement.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Updates)', 'Hijacks', 'Misconfiguration']",weak relationship
194.143.221.0/24,N/A,AS57844,['AS834'],Low,"The origin AS57844 and the authorized AS834 belong to different organizations (SPDNet Telekomunikasyon Hizmetleri in Turkey and IPXO LLC in the United States) and have no known provider‑customer, sibling, or ownership relationship; there is no evidence of recent prefix transfers, shared infrastructure, or geographic proximity, indicating the invalid announcement is unlikely to be a benign operational arrangement.",Likely a hijack or misconfiguration (unauthorized upstream/downstream announcement).,"['Hijacks', 'Others', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges, or IP address leasing)']",no relationship
194.225.78.0/24,N/A,AS59441,"['AS43965', 'AS6736']",Medium,"The origin AS (AS59441) is not listed in the ROAs, but the authorized ASes (AS43965 and AS6736) are Iranian entities, likely part of academic or regional networks. The prefix is registered to an academic institution, suggesting a possible delegated or upstream‑downstream announcement to AS59441. While no direct provider‑customer or sibling relationship is confirmed, the shared geographic region and operational context point to a plausible benign configuration rather than a malicious hijack.",Delegated/upstream‑downstream announcement from the authorized ASes to the origin AS.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)']",same region
198.12.38.0/24,N/A,AS61452,['AS27988'],High,"Both AS61452 and the authorized AS27988 are registered in Argentina, indicating a close regional and operational relationship. IRR records show that AS61452 announces routes for a customer, suggesting a provider‑customer or sibling relationship, and the prefix has a documented transfer history between Restel S.A. and Servicios y Telecomunicaciones S.A., implying an ownership or delegation change. These factors collectively point to a benign conflict rather than a malicious hijack.",Delegated/upstream-downstream announcement due to a recent prefix transfer or ownership change.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",strong relationship
199.188.236.0/24,N/A,AS834,['AS53356'],High,"The origin AS834 appears to have a close operational relationship with the authorized AS53356, as indicated by the RIPEstat route object's maintenance handle (MAINT‑AS834) and a likely service agreement between IPXO LLC (AS834) and Free Range Cloud (AS53356). This points to a delegated or upstream‑downstream announcement rather than a malicious hijack, and no suspicious routing patterns are observed.",Delegated/upstream‑downstream announcement by AS834 on behalf of AS53356.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Third-Party Announcements (e.g., cloud services, hosting)', 'Multi-Origin with Partial ROA Coverage']",strong relationship
2.58.168.0/24,N/A,AS834,['AS5065'],Medium,"The origin AS834 and the authorized AS5065 are operated by different entities and there is no evidence of a direct customer‑provider, sibling, or ownership relationship. Both ASes have announced the prefix at different times, suggesting a possible recent transfer of ownership or a misconfiguration, but the lack of concrete relationship data limits confidence in a benign classification.",Possible prefix transfer or ownership change between AS5065 and AS834.,"['Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements']",weak relationship
2.58.169.0/24,N/A,AS43641,['AS5065'],Medium,"There is no direct ownership or sibling relationship between AS43641 and the authorized AS5065; they belong to different organizations. However, both operate in the United States and the announcement could stem from a misconfiguration, a recent prefix transfer, or partial ROA coverage rather than a clear malicious hijack. The lack of concrete evidence for a strong relationship keeps the benign likelihood at a moderate level.",Possible misconfiguration or partial ROA coverage during a prefix transfer.,"['Hijacks', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches']",weak relationship
200.229.17.0/24,N/A,AS61317,"['AS10753', 'AS53356']",Medium,"AS61317 (Hivelocity LLC) is a cloud and hosting provider, while the authorized ASes AS10753 and AS53356 are a major provider and another cloud hosting company respectively. The prefix has undergone ownership transfers, and the announcement may stem from delegated or upstream‑downstream relationships and partial ROA coverage. Although the parties share the same industry and likely operate in the same region (US), there is no clear provider‑customer or sibling relationship, making the conflict only partially explainable by benign operational overlap.",Possible misconfiguration due to delegated/upstream-downstream announcements and partial ROA coverage after a prefix transfer.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",weak relationship
200.29.26.0/24,N/A,AS6429,['AS10778'],High,"AS6429 (Telmex Chile Internet S.A.) and AS10778 (MCL Internet) are both registered in Chile and have a long‑standing provider‑customer relationship; AS10778 announces the less specific /19 prefix while its downstream customer AS6429 announces the more specific /24, a common delegated practice that is not reflected in the current ROA, making the invalid route a likely benign conflict.",Delegated upstream‑downstream announcement where the downstream AS announces a more specific prefix.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
200.29.89.0/24,N/A,AS6429,['AS10778'],High,"Both AS6429 (Telmex Chile Internet S.A.) and AS10778 (MCL Internet) are based in Chile, and AS6429 announces the more specific /24 that is covered by the parent /19 announced by AS10778. IRR and RIPEstat data show a long‑standing provider‑customer or sibling relationship dating back to 2013, indicating a legitimate delegated upstream‑downstream arrangement.",Delegated upstream‑downstream announcements with incomplete ROA coverage for the more specific prefix.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
200.69.127.0/24,N/A,AS22368,['AS19429'],High,"Both AS22368 (TELEBUCARAMANGA S.A. E.S.P.) and AS19429 (ETB - Colombia) are Colombian ISPs located in the Bucaramanga region; the prefix 200.69.127.0/24 has been originated by AS22368 since 2002, indicating a long‑standing route, and there is no evidence of malicious activity, suggesting a close business relationship that explains the RPKI‑invalid state.",Delegated/upstream‑downstream announcement or misconfigured ROA for a legitimate downstream customer.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
200.93.151.0/24,N/A,AS22368,['AS19429'],High,"AS22368 and AS19429 are both Colombian ISPs; the origin AS has been announcing the /24 since 2003 and the prefix is a more specific block within larger prefixes announced by AS19429, indicating a delegated or upstream‑downstream arrangement. The long‑standing history and geographic co‑location suggest a close operational or organizational relationship rather than a malicious hijack.",Delegated / Upstream-Downstream Announcements,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",same organization
201.71.199.0/24,N/A,AS272498,['AS270293'],Medium,"Both the origin AS (AS272498) and the authorized AS (AS270293) are registered in Brazil and belong to the LACNIC region, suggesting a possible local downstream relationship, but no explicit provider‑customer, sibling, or same‑organization link is documented; the origin AS appears to be an individual entity while the authorized AS is a telecom operator, leading to a medium likelihood of a benign conflict.","Delegated/upstream-downstream announcement possibly involving a third‑party service agreement, leading to a multi‑origin situation with partial ROA coverage.","['Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges, or similar service agreements)', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",weak relationship
202.126.97.0/24,N/A,AS834,"['AS14618', 'AS16509']",Low,"The origin AS834 (IPXO LLC) has no clear provider‑customer, sibling, or organizational relationship with the authorized ASes AS14618 and AS16509, which are Amazon entities. The prefix is primarily owned by Amazon, and AS834's announcement lacks ROA authorization, indicating a likely hijack rather than a benign conflict.",Likely hijack by AS834 announcing an Amazon-owned prefix without authorization.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges)', 'Others (Potential ROA Update Delay or Oversight)']",no relationship
202.161.180.0/22,N/A,AS17469,['AS38030'],High,"Both AS17469 and AS38030 are registered to the same organization, Access Telecom BD Ltd., indicating a strong organizational (sibling/provider‑customer) relationship. The announced /22 is a more specific sub‑prefix of the authorized range, which is typical of internal delegation, and both prefixes are located in Bangladesh, further supporting a benign configuration.","Delegated or upstream‑downstream announcements within the same organization, possibly resulting in a multi‑origin configuration.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",same organization
203.127.225.0/24,N/A,AS17894,"['AS3758', 'AS19905']",High,"AS17894 is announcing a prefix that is authorized for AS3758 and AS19905; the most plausible explanation is that AS17894 is a downstream customer or subsidiary of one of the authorized ASes, leading to a benign conflict caused by ROA omission. The prefix’s primary location in the Philippines aligns with AS17894’s presence, while the authorized ASes have operational footprints in the APAC region, supporting a strong business relationship rather than a malicious hijack. The situation may also involve routine traffic‑engineering or de‑aggregation practices.",Delegated upstream‑downstream announcements or operational traffic‑engineering misconfiguration.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration in ROA/Route Management)', 'Traffic Engineering / Deaggregate Mismatches']",strong relationship
203.188.16.0/20,N/A,AS55808,"['AS55760', 'AS7693']",Medium,"Both the origin AS (AS55808) and the authorized AS (AS55760) are registered in Thailand, indicating a regional relationship. AS55808 may be announcing the prefix on behalf of AS55760, a practice seen in delegated or upstream‑downstream arrangements, and the prefix has previously been originated by AS55760. However, there is no concrete evidence of a direct provider‑customer or sibling relationship, and the presence of an additional authorized AS (AS7693) suggests a multi‑origin configuration that could stem from misconfiguration or a recent ownership change. These factors point to a likely benign conflict but without strong confirmation.",The announcement likely results from a delegated/upstream‑downstream arrangement or a recent prefix ownership transfer.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)', 'Prefix Transfer / Ownership Change']",same region
203.89.214.0/24,N/A,AS138184,"['AS139736', 'AS9328']",Medium,"The origin AS138184 and the authorized AS139736 are both located in Australia and are registered in the APNIC region, indicating a regional relationship. The /24 prefix is a more specific of a larger /19 announced by AS9328, which suggests a possible downstream or delegated announcement. No direct provider‑customer, sibling, or organizational link is evident, and the situation appears to stem from multi‑origin or incomplete ROA configuration, leading to a medium benign likelihood.","Delegated or downstream announcement with partial ROA coverage, possibly due to a multi‑origin or prefix ownership change.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",same region
204.14.79.0/24,N/A,AS834,['AS53356'],High,"The origin AS (AS834) and the authorized AS (AS53356) have a close operational relationship: AS834 is listed as the maintainer of the route object for the prefix, indicating a delegated or upstream‑downstream arrangement, and the ROA likely reflects an outdated or mis‑configured state. This strong administrative link points to a benign conflict rather than a malicious hijack.",Delegated/upstream-downstream announcement with partial ROA coverage,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",strong relationship
204.93.209.0/24,N/A,AS834,['AS212238'],Medium,"The origin AS834 and the authorized AS212238 show indirect ties: IRR data links AS834 as a maintainer for a route object also originated by AS212238, suggesting a delegated or upstream‑downstream arrangement, and both ASes have historically announced the same prefix, indicating possible operational overlap. However, there is no direct evidence of a same‑organization, provider‑customer, or sibling relationship, so the conflict is considered possibly benign but not definitively so.",Delegated/upstream-downstream announcement leading to multi‑origin with partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)', 'Traffic Engineering / Deaggregate Mismatches']",weak relationship
204.93.235.0/24,N/A,AS834,['AS212238'],Medium,"The prefix 204.93.235.0/24 is originated by AS834 while the ROA authorizes AS212238. Evidence such as a maintenance entry linking the prefix to AS834, indications of a possible prefix transfer or delegated upstream‑downstream arrangement, and the involvement of a third‑party service provider (IPXO) suggest that AS834 may be announcing the prefix on behalf of AS212238. However, there is no clear provider‑customer, sibling, or same‑organization relationship, and the only supporting context is regional proximity (Tokyo) and administrative linkage, leading to a moderate confidence in a benign conflict.",Delegated/upstream‑downstream announcement where AS834 announces on behalf of AS212238 due to a prefix transfer or third‑party service arrangement.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (e.g., IPXO providing services to CDNEXT)', 'Others (Potential Administrative Linkage via Maintenance Entries)', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",weak relationship
204.93.245.0/24,N/A,AS834,['AS212238'],Medium,"The announcement is RPKI‑invalid because the origin AS834 does not match the authorized AS212238 in the ROA. Evidence suggests the mismatch may stem from administrative or operational overlap: AS834’s maintainer record appears on a route object for the prefix that is also originated by AS212238, indicating possible delegated or upstream‑downstream relationships, and the prefix has historically been announced by both ASes, leading to multi‑origin with partial ROA coverage. No direct provider‑customer or same‑organization link is evident, so the relationship is only weakly suggested.",Delegated/upstream‑downstream announcement resulting in multi‑origin with partial ROA coverage.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Maintainer Overlap/Misconfiguration)', 'Traffic Engineering / Deaggregate Mismatches']",weak relationship
205.234.133.0/24,N/A,AS834,['AS212238'],High,"The announcement by AS834 conflicts with the ROA authorizing AS212238, but RIPEstat data shows AS834 is listed as the maintainer for a route object of the same prefix, indicating a close operational relationship (likely provider‑customer or sibling). This suggests the invalid announcement is probably a misconfiguration rather than a malicious hijack, with additional context from past prefix transfers and multi‑origin usage.",Misconfiguration due to a close provider‑customer or sibling relationship between AS834 and AS212238.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
205.234.147.0/24,N/A,AS23470,['AS212238'],Medium,"There is no direct or indirect relationship between AS23470 (ReliableSite.Net LLC) and the authorized AS212238 (CDNEXT – Datacamp Limited); they belong to different organizations and regions, and no provider‑customer or sibling ties are evident. The invalid announcement is likely the result of a configuration error, possibly related to a recent prefix transfer or multi‑origin setup, and no other malicious indicators are observed.",Misconfiguration or multi‑origin scenario during a prefix transfer leading to partial ROA coverage.,"['Hijacks', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",no relationship
